"ML Catalog Number","Common Name","Recordist","Year","Month","Day","Country State County","Locality","Loc ID","Behaviors","Taxon Category","source","genus","family","Orginal.Scientific.Name","Scientific.Name","file_url","species_ebird_url","sound.files"
249907041,"Vinous-breasted Sparrowhawk","Simon Mitchell",2019,7,5,"ID-SL-SG","Labundo Forest","L9649142",NA,"Species","not publication cut","Accipiter","Accipitridae","Accipiter rhodogaster","Accipiter rhodogaster","https://macaulaylibrary.org/asset/249907041","https://ebird.org/species/vibspa1","Accipiter_rhodogaster-ML249907041.wav"
64430,"Fiji Goshawk","Doug Pratt",1992,6,26,"FJ-N","Taveuni--Des Voeux Peak","L987280",NA,"Species","not publication cut","Accipiter","Accipitridae","Accipiter rufitorques","Accipiter rufitorques","https://macaulaylibrary.org/asset/64430","https://ebird.org/species/fijgos1","Accipiter_rufitorques-ML64430.wav"
33013,"Spot-tailed Goshawk","Arnoud B. van den Berg",1984,8,16,"ID-SL-ST","80.0 km SE of Palu; Pertigaan Lindu above Palolo; NP Lore Lindu",NA,"Call","Species","not publication cut","Accipiter","Accipitridae","Accipiter trinotatus","Accipiter trinotatus","https://macaulaylibrary.org/asset/33013","https://ebird.org/species/sptgos1","Accipiter_trinotatus-ML33013.wav"
161756011,"Black-winged Myna (Gray-backed)","Max Breckenridge",NA,NA,NA,"ID-JW-JI",NA,NA,NA,"Group","not publication cut","Acridotheres","Sturnidae","Acridotheres melanopterus","Acridotheres melanopterus","https://macaulaylibrary.org/asset/161756011","https://ebird.org/species/bkwsta3","Acridotheres_melanopterus-ML161756011.wav"
198534391,"Tuamotu Reed Warbler","Ron Batie",2019,11,16,"PF-TG","Relais Marama, Rotoava, Îles Tuamotu-Gambier, PF (-16.056, -145.619)","L10166694","Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus atyphus","Acrocephalus atyphus","https://macaulaylibrary.org/asset/198534391","https://ebird.org/species/turwar1","Acrocephalus_atyphus-ML198534391.wav"
191889321,"Tahiti Reed Warbler","Ron Batie",2019,11,6,"PF-WI","Papanoo Valley, Tahiti","L4240526","Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus caffer","Acrocephalus caffer","https://macaulaylibrary.org/asset/191889321","https://ebird.org/species/tahrew1","Acrocephalus_caffer-ML191889321.wav"
5401,"Saipan Reed Warbler","Doug Pratt",1978,7,6,"MP","4.0 km S of Saipan; Profile Beach",NA,"Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus hiwae","Acrocephalus hiwae","https://macaulaylibrary.org/asset/5401","https://ebird.org/species/sairew1","Acrocephalus_hiwae-ML5401.wav"
203895521,"Southern Marquesan Reed Warbler","Josep del Hoyo",2013,9,29,"PF-MI","Fatu Hiva (-10.4891, -138.649)","L10584620","Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus mendanae","Acrocephalus mendanae","https://macaulaylibrary.org/asset/203895521","https://ebird.org/species/marwar2","Acrocephalus_mendanae-ML203895521.wav"
105266941,"Large-billed Reed Warbler","Florian Klingel",2018,6,14,"TJ-GB","Pashor","L7582629","Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus orinus","Acrocephalus orinus","https://macaulaylibrary.org/asset/105266941","https://ebird.org/species/labrew1","Acrocephalus_orinus-ML105266941.wav"
186382821,"Northern Marquesan Reed Warbler","Brian Gibbons",2019,10,14,"PF-MI","PF-Nuku Hiva (-8.8268,-140.0847)","L10092391",NA,"Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus percernis","Acrocephalus percernis","https://macaulaylibrary.org/asset/186382821","https://ebird.org/species/marrew2","Acrocephalus_percernis-ML186382821.wav"
125882,"Nauru Reed Warbler","Donald W. Buden",2006,12,20,"NR","Odn-Aiwo Hotel",NA,"Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus rehsei","Acrocephalus rehsei","https://macaulaylibrary.org/asset/125882","https://ebird.org/species/narwar1","Acrocephalus_rehsei-ML125882.wav"
204001551,"Rimitara Reed Warbler","Hervé JACOB",2018,10,18,"PF-TI","Rimatara","L3442578","Call","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus rimitarae","Acrocephalus rimitarae","https://macaulaylibrary.org/asset/204001551","https://ebird.org/species/rimrew1","Acrocephalus_rimitarae-ML204001551.wav"
72268,"Rodrigues Warbler","Jennifer F. M. Horne",1974,11,5,"MU-RO","574.0 km E of Mauritius Island; Cascade Pigeon; Rodrigues",NA,"Call; Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus rodericanus","Acrocephalus rodericanus","https://macaulaylibrary.org/asset/72268","https://ebird.org/species/rodbrw1","Acrocephalus_rodericanus-ML72268.wav"
101990,"Seychelles Warbler","Ian Sinclair",1991,6,13,"SC",NA,NA,"Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus sechellensis","Acrocephalus sechellensis","https://macaulaylibrary.org/asset/101990","https://ebird.org/species/sebwar1","Acrocephalus_sechellensis-ML101990.wav"
5501,"Caroline Reed Warbler","Doug Pratt",1978,7,13,"FM-TRK","Weno Island","L2900882","Song","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus syrinx","Acrocephalus syrinx","https://macaulaylibrary.org/asset/5501","https://ebird.org/species/carrew1","Acrocephalus_syrinx-ML5501.wav"
203895601,"Henderson Island Reed Warbler","Josep del Hoyo",2013,9,8,"PN-","Henderson Island (-24.3465, -128.326)","L10589184","Call","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus taiti","Acrocephalus taiti","https://macaulaylibrary.org/asset/203895601","https://ebird.org/species/hirwar1","Acrocephalus_taiti-ML203895601.wav"
203895441,"Pitcairn Reed Warbler","Josep del Hoyo",2013,9,5,"PN-","Adamstown (-25.0659, -130.101)","L10546356","Call","Species","not publication cut","Acrocephalus","Acrocephalidae","Acrocephalus vaughani","Acrocephalus vaughani","https://macaulaylibrary.org/asset/203895441","https://ebird.org/species/pirwar2","Acrocephalus_vaughani-ML203895441.wav"
203991781,"Blue-capped Kingfisher","Niels Poul Dreyer",1999,3,7,"PH-DAO","Mount Pasian","L10607419","Call","Species","not publication cut","Actenoides","Alcedinidae","Actenoides hombroni","Actenoides hombroni","https://macaulaylibrary.org/asset/203991781","https://ebird.org/species/blckin2","Actenoides_hombroni-ML203991781.wav"
38746,"Spotted Kingfisher","Robert S. Kennedy",1981,6,7,"PH-LAG","Mt. Makiling",NA,"Call","Species","not publication cut","Actenoides","Alcedinidae","Actenoides lindsayi","Actenoides lindsayi","https://macaulaylibrary.org/asset/38746","https://ebird.org/species/spokin1","Actenoides_lindsayi-ML38746.wav"
33099,"Green-backed Kingfisher","Arnoud B. van den Berg",1984,8,29,"ID-SL-ST","40.0 km SE of Palu; village of Saluki in Palu Valley",NA,NA,"Species","not publication cut","Actenoides","Alcedinidae","Actenoides monachus","Actenoides monachus","https://macaulaylibrary.org/asset/33099","https://ebird.org/species/grbkin1","Actenoides_monachus-ML33099.wav"
236496,"Scaly-breasted Kingfisher (Scaly-breasted)","Margaret Widdowson",2007,8,9,"ID-SL-ST","Lore Lindu National Park; Anaso Track",NA,"Call","Group","not publication cut","Actenoides","Alcedinidae","Actenoides princeps","Actenoides princeps","https://macaulaylibrary.org/asset/236496","https://ebird.org/species/scbkin1","Actenoides_princeps-ML236496.wav"
204009171,"Sooty Tit","Martin Kennewell",2013,5,29,"CN-51","Jiuzhaigou Valley National Park (33.2261, 103.9)","L10592202","Call","Species","not publication cut","Aegithalos","Aegithalidae","Aegithalos fuliginosus","Aegithalos fuliginosus","https://macaulaylibrary.org/asset/204009171","https://ebird.org/species/sootit1","Aegithalos_fuliginosus-ML204009171.wav"
168273411,"Mountain Owlet-nightjar","James (Jim) Holmes",2019,6,28,"PG-MPL","Satop to Kabwum Rd  (Huon Birding Camp area)","L9551283","Call","Species","not publication cut","Aegotheles","Aegothelidae","Aegotheles albertisi","Aegotheles albertisi","https://macaulaylibrary.org/asset/168273411","https://ebird.org/species/moonig1","Aegotheles_albertisi-ML168273411.wav"
141996,"Barred Owlet-nightjar (Dwarf)","Michael P. Moore",2003,11,17,"PG-MBA","Normanby Island; Mt. Donudonu",NA,NA,"Group","not publication cut","Aegotheles","Aegothelidae","Aegotheles bennettii","Aegotheles bennettii","https://macaulaylibrary.org/asset/141996","https://ebird.org/species/barown4","Aegotheles_bennettii-ML141996.wav"
177217201,"Moluccan Owlet-nightjar","Peter Kaestner",2019,9,8,"ID-MA-MU","ID-North Moluccas-97853 (0.3803,127.8848)","L9892943","Song","Species","not publication cut","Aegotheles","Aegothelidae","Aegotheles crinifrons","Aegotheles crinifrons","https://macaulaylibrary.org/asset/177217201","https://ebird.org/species/molown1","Aegotheles_crinifrons-ML177217201.wav"
168273331,"Feline Owlet-nightjar","James (Jim) Holmes",2019,6,28,"PG-MPL","Satop to Kabwum Rd  (Huon Birding Camp area)","L9551283","Call","Species","not publication cut","Aegotheles","Aegothelidae","Aegotheles insignis","Aegotheles insignis","https://macaulaylibrary.org/asset/168273331","https://ebird.org/species/feonig1","Aegotheles_insignis-ML168273331.wav"
203983281,"Starry Owlet-nightjar","Ashley Banwell",2009,7,2,"PG-WPD","Ekame Lodge","L10564339",NA,"Species","not publication cut","Aegotheles","Aegothelidae","Aegotheles tatei","Aegotheles tatei","https://macaulaylibrary.org/asset/203983281","https://ebird.org/species/spaown1","Aegotheles_tatei-ML203983281.wav"
278111091,"Cinereous Vulture","Miguel Rodríguez Esteban",2020,11,7,"ES-CL-SL","Gomecello--Centro de Tratamiento de Residuos (acceso restringido)","L6482984","Call; Foraging or Eating","Species","not publication cut","Aegypius","Accipitridae","Aegypius monachus","Aegypius monachus","https://macaulaylibrary.org/asset/278111091","https://ebird.org/species/cinvul1","Aegypius_monachus-ML278111091.wav"
438096601,"Mariana Swiftlet","Ellie Roark",2022,4,19,"MP-SA","Popago Swiftlet Cave (200 m buffer)","L18607555","Flying; Foraging or Eating","Species","not publication cut","Aerodramus","Apodidae","Aerodramus bartschi","Aerodramus bartschi","https://macaulaylibrary.org/asset/438096601","https://ebird.org/species/marswi","Aerodramus_bartschi-ML438096601.wav"
182334,"Seram Swiftlet","John C. Mittermeier",2012,8,15,"ID-MA-MU","Obi; Jikotamo; Cabang Kuning",NA,"Call; Flying","Species","not publication cut","Aerodramus","Apodidae","Aerodramus ceramensis","Aerodramus ceramensis","https://macaulaylibrary.org/asset/182334","https://ebird.org/species/molswi1","Aerodramus_ceramensis-ML182334.wav"
72143,"Mascarene Swiftlet","Jennifer F. M. Horne",1973,10,4,"MU","840.0 km E of Madagascar; Henrietta; nr Vacoas (caves)",NA,"Call; Non-vocal","Species","not publication cut","Aerodramus","Apodidae","Aerodramus francicus","Aerodramus francicus","https://macaulaylibrary.org/asset/72143","https://ebird.org/species/masswi1","Aerodramus_francicus-ML72143.wav"
100643,"Mountain Swiftlet","Andrew Mack",1999,2,1,"PG-EHG","6.0 km SE of Maimafu Airstrip; Maimafu Camp, Near Summit Crater Mountain",NA,"Call; Foraging or Eating","Species","not publication cut","Aerodramus","Apodidae","Aerodramus hirundinaceus","Aerodramus hirundinaceus","https://macaulaylibrary.org/asset/100643","https://ebird.org/species/mouswi2","Aerodramus_hirundinaceus-ML100643.wav"
5508,"Caroline Islands Swiftlet","Doug Pratt",NA,NA,NA,"FM-TRK","Truk Islands; MOEN ISLAND",NA,"Call","Species","not publication cut","Aerodramus","Apodidae","Aerodramus inquietus","Aerodramus inquietus","https://macaulaylibrary.org/asset/5508","https://ebird.org/species/caiswi1","Aerodramus_inquietus-ML5508.wav"
204002691,"Philippine Swiftlet","Desmond Allen",2007,12,27,"PH-MOU","Sagada","L10618923","Call","Species","not publication cut","Aerodramus","Apodidae","Aerodramus mearnsi","Aerodramus mearnsi","https://macaulaylibrary.org/asset/204002691","https://ebird.org/species/phiswi1","Aerodramus_mearnsi-ML204002691.wav"
203895591,"Marquesan Swiftlet","Josep del Hoyo",2013,9,23,"PF-MI","Toovii Plateau","L10628132","Call","Species","not publication cut","Aerodramus","Apodidae","Aerodramus ocistus","Aerodramus ocistus","https://macaulaylibrary.org/asset/203895591","https://ebird.org/species/marswi2","Aerodramus_ocistus-ML203895591.wav"
5367,"Palau Swiftlet","Doug Pratt",1978,7,3,"PW","URUKTHAPEL; SOUTH SHORE CENTRAL PART",NA,"Call; Flying","Species","not publication cut","Aerodramus","Apodidae","Aerodramus pelewensis","Aerodramus pelewensis","https://macaulaylibrary.org/asset/5367","https://ebird.org/species/palswi1","Aerodramus_pelewensis-ML5367.wav"
61897131,"Atiu Swiftlet","Bruce Rideout",2016,10,2,"CK-","Anatakitaki Cave","L6017496","Call","Species","not publication cut","Aerodramus","Apodidae","Aerodramus sawtelli","Aerodramus sawtelli","https://macaulaylibrary.org/asset/61897131","https://ebird.org/species/atiswi1","Aerodramus_sawtelli-ML61897131.wav"
5750,"White-rumped Swiftlet","Doug Pratt",1977,6,30,"WS","NEAR VAIOLA",NA,"Call; Foraging or Eating","Species","not publication cut","Aerodramus","Apodidae","Aerodramus spodiopygius","Aerodramus spodiopygius","https://macaulaylibrary.org/asset/5750","https://ebird.org/species/whrswi2","Aerodramus_spodiopygius-ML5750.wav"
474212631,"Australian Swiftlet","Edward Smith",2022,8,3,"AU-QLD-CAI","Daintree Village Boat Cruise","L8467701","Flying; Foraging or Eating; Non-vocal","Species","not publication cut","Aerodramus","Apodidae","Aerodramus terraereginae","Aerodramus terraereginae","https://macaulaylibrary.org/asset/474212631","https://ebird.org/species/ausswi1","Aerodramus_terraereginae-ML474212631.wav"
134502351,"Uniform Swiftlet","Lucas DeCicco",2018,10,28,"SB-RB","Solomon Islands; Rennell-Bellona Province; Rennell Island; Lake Te-Nganno; Te-Nganno Village and surroundings","L8410157","Call","Species","not publication cut","Aerodramus","Apodidae","Aerodramus vanikorensis","Aerodramus vanikorensis","https://macaulaylibrary.org/asset/134502351","https://ebird.org/species/uniswi1","Aerodramus_vanikorensis-ML134502351.wav"
193041341,"Handsome Sunbird","Kim Cancino",2019,12,13,"PH-PAN","Manleluag Spring Protected Landscape, Mangatarem","L10179509",NA,"Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga bella","Aethopyga bella","https://macaulaylibrary.org/asset/193041341","https://ebird.org/species/hansun1","Aethopyga_bella-ML193041341.wav"
203894251,"Apo Sunbird","Stijn De Win",2010,2,15,"PH-BUK","Mt. Kitanglad Range Natural Park--Mid-level Trails","L922485","Song","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga boltoni","Aethopyga boltoni","https://macaulaylibrary.org/asset/203894251","https://ebird.org/species/moasun1","Aethopyga_boltoni-ML203894251.wav"
191462,"Bohol Sunbird","Peter Hosner",2012,5,20,"PH-BOH","Valencia; Bohol Island; Rajah Sikatuna Protected Landscape; Omjon",NA,"Song","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga decorosa","Aethopyga decorosa","https://macaulaylibrary.org/asset/191462","https://ebird.org/species/bohsun1","Aethopyga_decorosa-ML191462.wav"
175408371,"Elegant Sunbird","Peter Kaestner",2019,9,2,"ID-SL-SA","(3.5098,125.5414)","L9871600",NA,"Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga duyvenbodei","Aethopyga duyvenbodei","https://macaulaylibrary.org/asset/175408371","https://ebird.org/species/elesun1","Aethopyga_duyvenbodei-ML175408371.wav"
92710181,"Flaming Sunbird","Juan Mesquida",2018,3,26,"PH-CAT","Brgy. Obo, Bato, San Miguel","L7164109",NA,"Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga flagrans","Aethopyga flagrans","https://macaulaylibrary.org/asset/92710181","https://ebird.org/species/flasun1","Aethopyga_flagrans-ML92710181.wav"
411059561,"Maroon-naped Sunbird","Vinz Pascua",2021,12,30,"PH-NER","Balinsasayao Twin Lakes Natural Park -- Visitor Center and View Deck","L9519616","Call","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga guimarasensis","Aethopyga guimarasensis","https://macaulaylibrary.org/asset/411059561","https://ebird.org/species/mansun1","Aethopyga_guimarasensis-ML411059561.wav"
204000191,"Mountain Sunbird","Desmond Allen",2008,1,2,"PH-IFU","Awan-Igid trail (17.0059, 121.068)","L10549442","Call","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga jefferyi","Aethopyga jefferyi","https://macaulaylibrary.org/asset/204000191","https://ebird.org/species/mousun1","Aethopyga_jefferyi-ML204000191.wav"
30137981,"Lina's Sunbird","Ross Gallardy",2016,5,28,"PH-COM","Mt. Tagubud, New Bataan","L3590897","Flight Call","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga linaraborae","Aethopyga linaraborae","https://macaulaylibrary.org/asset/30137981","https://ebird.org/species/linsun1","Aethopyga_linaraborae-ML30137981.wav"
191472,"Magnificent Sunbird","Peter Hosner",2012,5,31,"PH-CEB","Cebu Island; Tabunan",NA,"Call","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga magnifica","Aethopyga magnifica","https://macaulaylibrary.org/asset/191472","https://ebird.org/species/magsun1","Aethopyga_magnifica-ML191472.wav"
38685,"Metallic-winged Sunbird","Robert S. Kennedy",1981,4,5,"PH-LEY","Leyte Island; Ormoc City; Barrio Cabinton; Sitio Victory",NA,"Call; Foraging or Eating","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga pulcherrima","Aethopyga pulcherrima","https://macaulaylibrary.org/asset/38685","https://ebird.org/species/mewsun2","Aethopyga_pulcherrima-ML38685.wav"
203942431,"Lovely Sunbird","Keith Blomerley",2015,3,18,"PH-PLW","Sabang (10.1794, 118.895)","L10618854","Song","Species","not publication cut","Aethopyga","Nectariniidae","Aethopyga shelleyi","Aethopyga shelleyi","https://macaulaylibrary.org/asset/203942431","https://ebird.org/species/lovsun1","Aethopyga_shelleyi-ML203942431.wav"
385688151,"Congo Peacock","Marc Languy",2017,9,21,"CD-EQ","Lokofa","L7953039",NA,"Species","not publication cut","Afropavo","Phasianidae","Afropavo congensis","Afropavo congensis","https://macaulaylibrary.org/asset/385688151","https://ebird.org/species/conpea1","Afropavo_congensis-ML385688151.wav"
529487411,"Black-collared Lovebird","Gabriel Jamie",2022,11,28,"CD-EQ","Monkoto village","L7183283","Flight Call","Species","not publication cut","Agapornis","Psittaculidae","Agapornis swindernianus","Agapornis swindernianus","https://macaulaylibrary.org/asset/529487411","https://ebird.org/species/blclov2","Agapornis_swindernianus-ML529487411.wav"
182696111,"Arfak Catbird","Mark Oberle",2018,10,7,"ID-IJ-PB","Indonesia, W Papua, Dyubei, Arfak Mountains","L10043982",NA,"Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus arfakianus","Ailuroedus arfakianus","https://macaulaylibrary.org/asset/182696111","https://ebird.org/species/arfcat1","Ailuroedus_arfakianus-ML182696111.wav"
166984,"Huon Catbird","Benjamin Freeman",2011,7,3,"PG-MPL","YUS Conservation Area: 1420 m",NA,NA,"Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus astigmaticus","Ailuroedus astigmaticus","https://macaulaylibrary.org/asset/166984","https://ebird.org/species/huocat1","Ailuroedus_astigmaticus-ML166984.wav"
100354,"White-eared Catbird","Andrew Mack",1998,3,31,"ID-IJ","146.0 km NW of Tembagapura; Paniai Kabupaten , Seiwa Base Camp",NA,"Call","Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus buccoides","Ailuroedus buccoides","https://macaulaylibrary.org/asset/100354","https://ebird.org/species/whecat1","Ailuroedus_buccoides-ML100354.wav"
167086,"Tan-capped Catbird","Benjamin Freeman",2011,7,20,"PG-MPL","YUS Conservation Area: 950m",NA,NA,"Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus geislerorum","Ailuroedus geislerorum","https://macaulaylibrary.org/asset/167086","https://ebird.org/species/taccat1","Ailuroedus_geislerorum-ML167086.wav"
20999,"Black-capped Catbird","Dale A. Zimmerman",1979,8,6,"PG-MPL","MT. MISIM; NEAR WAU",NA,NA,"Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus melanocephalus","Ailuroedus melanocephalus","https://macaulaylibrary.org/asset/20999","https://ebird.org/species/bkccat1","Ailuroedus_melanocephalus-ML20999.wav"
129504281,"Black-eared Catbird","Eliot Miller",2010,11,10,"AU-QLD-COO","Kutini-Payamu (Iron Range) National Park","L2038367",NA,"Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus melanotis","Ailuroedus melanotis","https://macaulaylibrary.org/asset/129504281","https://ebird.org/species/spocat1","Ailuroedus_melanotis-ML129504281.wav"
79914,"Ochre-breasted Catbird","Andrew Mack",1996,12,4,"PG-GPK","11.0 km SW of Tekadu Airstrip (Ivimka Camp), Lakekamu Basin",NA,"Call; Courtship, Display, or Copulation","Species","not publication cut","Ailuroedus","Ptilonorhynchidae","Ailuroedus stonii","Ailuroedus stonii","https://macaulaylibrary.org/asset/79914","https://ebird.org/species/ocbcat1","Ailuroedus_stonii-ML79914.wav"
100556,"Rufous-naped Bellbird","Andrew Mack",1998,10,16,"PG-EHG","11.0 km NW of Herowana Airstrip; Herowana Camp ""arosele""",NA,"Call","Species","not publication cut","Aleadryas","Oreoicidae","Aleadryas rufinucha","Aleadryas rufinucha","https://macaulaylibrary.org/asset/100556","https://ebird.org/species/runwhi1","Aleadryas_rufinucha-ML100556.wav"
60496,"Przevalski's Partridge","Geoff J. Carey",1997,6,4,"CN-63","Beishan North Of Xining",NA,"Call","Species","not publication cut","Alectoris","Phasianidae","Alectoris magna","Alectoris magna","https://macaulaylibrary.org/asset/60496","https://ebird.org/species/przpar1","Alectoris_magna-ML60496.wav"
101987,"Seychelles Blue-Pigeon","Ian Sinclair",1991,6,12,"SC","Praslin Island",NA,"Call","Species","not publication cut","Alectroenas","Columbidae","Alectroenas pulcherrimus","Alectroenas pulcherrimus","https://macaulaylibrary.org/asset/101987","https://ebird.org/species/sebpig1","Alectroenas_pulcherrimus-ML101987.wav"
203888771,"Cock-tailed Tyrant","Pieter de Groot Boersma",2017,8,13,"BR-MG","Serra da Canastra National Park (-20.2339, -46.5065)","L10622087","Call","Species","not publication cut","Alectrurus","Tyrannidae","Alectrurus tricolor","Alectrurus tricolor","https://macaulaylibrary.org/asset/203888771","https://ebird.org/species/cottyr1","Alectrurus_tricolor-ML203888771.wav"
518111,"Moluccan King-Parrot","Lucas DeCicco",2016,1,8,"ID-MA","Seram Island, Trans-Seram Highway, ca. 1km north of northern pass",NA,"Call; Flying","Species","not publication cut","Alisterus","Psittaculidae","Alisterus amboinensis","Alisterus amboinensis","https://macaulaylibrary.org/asset/518111","https://ebird.org/species/mokpar1","Alisterus_amboinensis-ML518111.wav"
20963,"Papuan King-Parrot","Dale A. Zimmerman",1979,7,31,"PG-CPM","75.0 km N of PORT MORESBY; VEIMAURI FOREST",NA,"Call; Flying","Species","not publication cut","Alisterus","Psittaculidae","Alisterus chloropterus","Alisterus chloropterus","https://macaulaylibrary.org/asset/20963","https://ebird.org/species/pakpar1","Alisterus_chloropterus-ML20963.wav"
134508541,"Bronze Ground Dove","Lucas DeCicco",2018,10,25,"SB-RB","Solomon Islands; Rennell-Bellona Province; Rennell Island; Lake Te-Nganno; Te-Nganno Village and surroundings","L8410157","Song","Species","not publication cut","Alopecoenas","Columbidae","Alopecoenas beccarii","Alopecoenas beccarii","https://macaulaylibrary.org/asset/134508541","https://ebird.org/species/brgdov1","Alopecoenas_beccarii-ML134508541.wav"
5311,"Palau Ground Dove","Doug Pratt",1978,6,27,"PW-150","Arakabesan Island","L22082762","Song","Species","not publication cut","Alopecoenas","Columbidae","Alopecoenas canifrons","Alopecoenas canifrons","https://macaulaylibrary.org/asset/5311","https://ebird.org/species/pagdov1","Alopecoenas_canifrons-ML5311.wav"
203895791,"Polynesian Ground Dove","Josep del Hoyo",2013,10,3,"PF-TG","Rangiroa Atoll","L10616919","Song","Species","not publication cut","Alopecoenas","Columbidae","Alopecoenas erythropterus","Alopecoenas erythropterus","https://macaulaylibrary.org/asset/203895791","https://ebird.org/species/pogdov1","Alopecoenas_erythropterus-ML203895791.wav"
