"family","species","species_ebird_url","catalog_ID","sound_file","common.name","original_species_name","observations","behaviors","age_and_sex","file_url"
"Procellariidae","Pterodroma hypoleuca","https://ebird.org/species/bonpet",979,"Pterodroma_hypoleuca-ML979.wav","Bonin Petrel","Pterodroma hypoleuca",NA,"Call",NA,"https://macaulaylibrary.org/asset/979"
"Procellariidae","Pterodroma neglecta","https://ebird.org/species/kerpet",981,"Pterodroma_neglecta-ML981.wav","Kermadec Petrel","Pterodroma neglecta",NA,"Call; Courtship, Display, or Copulation",NA,"https://macaulaylibrary.org/asset/981"
"Procellariidae","Ardenna carneipes","https://ebird.org/species/flfshe",991,"Ardenna_carneipes-ML991.wav","Flesh-footed Shearwater","Ardenna carneipes",NA,NA,"Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/991"
"Procellariidae","Ardenna grisea","https://ebird.org/species/sooshe",996,"Ardenna_grisea-ML996.wav","Sooty Shearwater","Ardenna grisea",NA,NA,"Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/996"
"Procellariidae","Puffinus huttoni","https://ebird.org/species/hutshe1",997,"Puffinus_huttoni-ML997.wav","Hutton's Shearwater","Puffinus huttoni",NA,"Call",NA,"https://macaulaylibrary.org/asset/997"
"Musophagidae","Ruwenzorornis johnstoni","https://ebird.org/species/ruwtur4",1015,"Ruwenzorornis_johnstoni-ML1015.wav","Rwenzori Turaco (Kivu)","Ruwenzorornis johnstoni kivuensis",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1015"
"Nectariniidae","Nectarinia purpureiventris","https://ebird.org/species/pubsun3",1016,"Nectarinia_purpureiventris-ML1016.wav","Purple-breasted Sunbird","Nectarinia purpureiventris",NA,NA,"Juvenile Male – 1","https://macaulaylibrary.org/asset/1016"
"Meropidae","Merops oreobates","https://ebird.org/species/ccbeat1",1022,"Merops_oreobates-ML1022.wav","Cinnamon-chested Bee-eater","Merops oreobates",NA,NA,"Adult – 2","https://macaulaylibrary.org/asset/1022"
"Ploceidae","Ploceus cucullatus","https://ebird.org/species/vilwea1",1024,"Ploceus_cucullatus-ML1024.wav","Village Weaver","Ploceus cucullatus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1024"
"Cisticolidae","Cisticola marginatus","https://ebird.org/species/wincis3",1025,"Cisticola_marginatus-ML1025.wav","Winding Cisticola","Cisticola marginatus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1025"
"Alcedinidae","Halcyon senegalensis","https://ebird.org/species/wookin1",1033,"Halcyon_senegalensis-ML1033.wav","Woodland Kingfisher","Halcyon senegalensis",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1033"
"Coliidae","Colius striatus","https://ebird.org/species/spemou2",1040,"Colius_striatus-ML1040.wav","Speckled Mousebird","Colius striatus",NA,"Call","Adult – 8","https://macaulaylibrary.org/asset/1040"
"Estrildidae","Spermestes cucullata","https://ebird.org/species/broman1",1049,"Spermestes_cucullata-ML1049.wav","Bronze Mannikin","Spermestes cucullata",NA,NA,"Adult – 11; Juvenile – 6","https://macaulaylibrary.org/asset/1049"
"Psittaculidae","Agapornis pullarius","https://ebird.org/species/rehlov1",1052,"Agapornis_pullarius-ML1052.wav","Red-headed Lovebird","Agapornis pullarius",NA,"Call; Flying",NA,"https://macaulaylibrary.org/asset/1052"
"Strigidae","Ptilopsis leucotis","https://ebird.org/species/nwfowl1",1054,"Ptilopsis_leucotis-ML1054.wav","Northern White-faced Owl","Ptilopsis leucotis",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1054"
"Pellorneidae","Illadopsis albipectus","https://ebird.org/species/scbill1",1063,"Illadopsis_albipectus-ML1063.wav","Scaly-breasted Illadopsis","Illadopsis albipectus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1063"
"Nicatoridae","Nicator vireo","https://ebird.org/species/yetnic1",1084,"Nicator_vireo-ML1084.wav","Yellow-throated Nicator","Nicator vireo",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1084"
"Ploceidae","Euplectes gierowii","https://ebird.org/species/blabis1",1093,"Euplectes_gierowii-ML1093.wav","Black Bishop","Euplectes gierowii",NA,"Courtship, Display, or Copulation; Song","Adult Female – 1; Adult Male – 1","https://macaulaylibrary.org/asset/1093"
"Muscicapidae","Cossypha niveicapilla","https://ebird.org/species/scrcha1",1111,"Cossypha_niveicapilla-ML1111.wav","Snowy-crowned Robin-Chat","Cossypha niveicapilla",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1111"
"Muscicapidae","Bradornis fuliginosus","https://ebird.org/species/soofly1",1114,"Bradornis_fuliginosus-ML1114.wav","Sooty Flycatcher","Bradornis fuliginosus",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1114"
"Macrosphenidae","Macrosphenus concolor","https://ebird.org/species/grylon1",1126,"Macrosphenus_concolor-ML1126.wav","Gray Longbill","Macrosphenus concolor",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1126"
"Estrildidae","Nigrita canicapillus","https://ebird.org/species/gyhneg1",1152,"Nigrita_canicapillus-ML1152.wav","Gray-headed Nigrita","Nigrita canicapillus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1152"
"Cisticolidae","Cisticola anonymus","https://ebird.org/species/chacis1",1154,"Cisticola_anonymus-ML1154.wav","Chattering Cisticola","Cisticola anonymus",NA,"Song","Adult – 1","https://macaulaylibrary.org/asset/1154"
"Meropidae","Merops albicollis","https://ebird.org/species/wtbeat1",1187,"Merops_albicollis-ML1187.wav","White-throated Bee-eater","Merops albicollis",NA,"Call; Courtship, Display, or Copulation; Foraging or Eating","Adult – 13","https://macaulaylibrary.org/asset/1187"
"Fringillidae","Crithagra mozambica","https://ebird.org/species/yefcan",1235,"Crithagra_mozambica-ML1235.wav","Yellow-fronted Canary","Crithagra mozambica",NA,"Song","Adult Male – 1","https://macaulaylibrary.org/asset/1235"
"Ploceidae","Ploceus nigerrimus","https://ebird.org/species/viewea1",1240,"Ploceus_nigerrimus-ML1240.wav","Vieillot's Weaver","Ploceus nigerrimus",NA,"Call",NA,"https://macaulaylibrary.org/asset/1240"
"Cisticolidae","Oreolais ruwenzorii","https://ebird.org/species/ruwapa1",1252,"Oreolais_ruwenzorii-ML1252.wav","Rwenzori Apalis","Oreolais ruwenzorii",NA,NA,"Adult – 1","https://macaulaylibrary.org/asset/1252"
